product,apple,amazon,adorama,macmall,bestbuy,b_and_h,date
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Gold",1299.0,,1249.0,1319.99,1199.99,1149.0,08/26/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Rose Gold",1299.0,,1249.0,1319.99,1199.99,1199.0,08/26/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Silver",1299.0,,1199.0,1319.99,1199.99,1199.0,08/26/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Space Gray",1299.0,,1229.0,1319.99,1199.99,1149.0,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Gold",1599.0,,1549.0,,1499.99,1479.0,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Rose Gold",1599.0,,1509.0,1619.99,1499.99,1499.0,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Silver",1599.0,,1549.0,1619.99,1499.99,1399.0,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Space Gray",1599.0,1541.03,1549.0,1619.99,1499.99,1479.0,08/26/2018
"13-inch MacBook Air (Mid 2017): 1.8 GHz, 128 GB",999.0,,899.0,999.0,899.99,829.0,08/26/2018
"13-inch MacBook Air (Mid 2017): 1.8 GHz, 256 GB",1199.0,,1149.0,1149.0,1099.99,999.0,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Silver",1299.0,,1199.0,1279.0,1199.99,1199.0,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Space Gray",1299.0,,1199.0,,1199.99,1099.0,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",1499.0,,1449.0,1494.0,1399.99,1399.0,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1499.0,,1399.0,1449.0,1399.99,1349.0,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Silver",1799.0,,1649.0,1799.99,1599.99,,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1799.0,1589.99,1549.0,1729.0,1599.99,,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Silver",1999.0,,1799.0,1999.99,1799.99,,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Space Gray",1999.0,1879.0,1899.0,,1799.99,1599.0,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",1799.0,,1699.0,1729.0,1699.99,1699.0,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1799.0,,1699.0,,1699.99,1699.0,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 512 GB SSD - Silver",1999.0,,1899.0,,1899.99,1899.0,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 512 GB SSD - Space Gray",1999.0,,1899.0,1929.0,1899.99,1899.0,08/26/2018
"15-inch MacBook Pro (Mid 2015): 2.2 GHz, 16 GB RAM, 256 GB",1999.0,,,1899.0,1699.99,,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Silver",2399.0,,2349.0,,2099.99,,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Space Gray",2399.0,,2349.0,2349.99,2099.99,,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Silver",2799.0,2498.9,2599.0,2739.99,2499.99,2499.0,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Space Gray",2799.0,,2499.0,,2499.99,2499.0,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.2 GHz, 16 GB RAM, 256 GB SSD - Silver",2399.0,,2249.0,,2299.99,2249.0,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.2 GHz, 16 GB RAM, 256 GB SSD - Space Gray",2399.0,,2249.0,,2299.99,2249.0,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.6 GHz, 16 GB RAM, 512 GB SSD - Silver",2799.0,,2649.0,,2699.99,2649.0,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.6 GHz, 16 GB RAM, 512 GB SSD - Space Gray",2799.0,,2649.0,2649.0,2699.99,2649.0,08/26/2018
"21.5-inch iMac (Mid 2017): 2.3 GHz, 8 GB RAM, 1 TB",1099.0,1089.0,999.0,1094.0,1099.99,949.0,08/26/2018
