adorama,amazon,apple,b_and_h,bestbuy,macmall,product,date
1249.00,1259.00,1299.00,1099.00,1299.99,1359.99,"MacBook (Mid 2017): 1.2 GHz, 256 GB - Gold",5/16/2018
1249.00,1149.00,1299.00,1149.00,1299.99,1319.99,"MacBook (Mid 2017): 1.2 GHz, 256 GB - Rose Gold",5/16/2018
1219.00,1270.38,1299.00,1219.00,1299.99,1279.00,"MacBook (Mid 2017): 1.2 GHz, 256 GB - Silver",5/16/2018
1229.00,1099.00,1299.00,1099.00,1299.99,1249.00,"MacBook (Mid 2017): 1.2 GHz, 256 GB - Space Gray",5/16/2018
1549.00,1546.79,1599.00,1449.00,1599.99,1619.99,"MacBook (Mid 2017): 1.3 GHz, 512 GB - Gold",5/16/2018
1549.00,1509.00,1599.00,1509.00,1599.99,1669.99,"MacBook (Mid 2017): 1.3 GHz, 512 GB - Rose Gold",5/16/2018
1549.00,1560.38,1599.00,1399.99,1599.99,1669.99,"MacBook (Mid 2017): 1.3 GHz, 512 GB - Silver",5/16/2018
1549.00,N/A,1599.00,1479.00,1599.99,N/A,"MacBook (Mid 2017): 1.3 GHz, 512 GB - Space Gray",5/16/2018
949.00,799.00,999.00,799.00,849.99,999.00,"13-inch MacBook Air (Mid 2017): 1.8 GHz, 128 GB",5/16/2018
1089.00,N/A,1199.00,999.00,999.99,1189.00,"13-inch MacBook Air (Mid 2017): 1.8 GHz, 256 GB",5/16/2018
1249.00,1099.00,1299.00,1099.00,1299.99,1259.00,"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Silver",5/16/2018
1249.00,1239.00,1299.00,1099.00,1299.99,1279.00,"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Space Gray",5/16/2018
1449.00,1299.00,1499.00,1299.00,1499.99,1499.99,"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",5/16/2018
1429.00,1299.00,1499.00,1299.00,1499.99,1449.00,"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",5/16/2018
1749.00,1599.00,1799.00,1599.00,1799.99,1729.00,"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Silver",5/16/2018
1699.00,1599.00,1799.00,1599.00,1799.99,1729.00,"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Space Gray",5/16/2018
1949.00,1799.00,1999.00,1799.00,1999.99,1999.99,"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Silver",5/16/2018
1949.00,N/A,1999.00,1799.00,1999.99,1949.00,"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Space Gray",5/16/2018
1799.00,N/A,1999.00,1699.00,1999.99,1899.00,"15-inch MacBook Pro (Mid 2015): 2.2 GHz, 16 GB RAM, 256 GB",5/16/2018
2349.00,2239.99,2399.00,2239.99,2399.99,2349.99,"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Silver",5/16/2018
1999.00,1999.00,2399.00,1999.00,2399.99,2349.00,"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Space Gray",5/16/2018
2599.00,2599.00,2799.00,2599.00,2799.99,2739.99,"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Silver",5/16/2018
2599.00,2399.00,2799.00,2399.00,2799.99,N/A,"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Space Gray",5/16/2018
1049.00,1089.00,1099.00,949.00,1099.99,1079.00,"21.5-inch iMac (Mid 2017): 2.3 GHz, 8 GB RAM, 1 TB",5/16/2018
1249.00,1099.00,1299.00,1099.00,1199.99,1249.00,"21.5-inch Retina iMac (Mid 2017): 3.0 GHz, 8 GB RAM, 1 TB",5/16/2018
1419.00,1299.00,1499.00,1299.00,1499.99,1519.99,"21.5-inch Retina iMac (Mid 2017): 3.4 GHz, 8 GB RAM, 1 TB Fusion",5/16/2018
1649.00,1549.00,1799.00,1549.00,1799.99,1819.99,"27-inch Retina iMac (Mid 2017): 3.4 GHz, 8 GB RAM, 1 TB Fusion",5/16/2018
1949.00,1859.00,1999.00,1859.00,1999.99,2089.99,"27-inch Retina iMac (Mid 2017): 3.5 GHz, 8 GB RAM, 1 TB Fusion",5/16/2018
